SalesPersonID,GeoID,ProductID,Date,Sales,Quantity,Revenue,SalesPersonName,Brand,Location,Country,Region,ProductName,Category,Size,Price
SP22,G3,P05,2021-01-01 00:00:00,4599,106,256,Jehu Rudeforth,,Seattle,Canada,Americas,Mint Chip Choco,Bars,LARGE,1.54
SP22,G2,P09,2021-01-01 00:00:00,2751,228,251,Jehu Rudeforth,,Seattle,USA,Americas,Orange Choco,Bars,LARGE,7.14
SP10,G1,P06,2021-01-01 00:00:00,15596,32,975,Brien Boise,Jucies,Wellington,India,APAC,Eclairs,Bites,LARGE,2.24
SP06,G1,P11,2021-01-01 00:00:00,8561,111,330,Curtice Advani,Delish,Hyderabad,India,APAC,After Nines,Bites,LARGE,4.43
SP25,G6,P05,2021-01-01 00:00:00,14273,335,752,Camilla Castle,Delish,Seattle,UK,Europe,Mint Chip Choco,Bars,LARGE,1.54
SP02,G4,P13,2021-01-01 00:00:00,2506,99,148,Dennison Crosswaite,Yummies,Hyderabad,New Zealand,APAC,85% Dark Bars,Bars,SMALL,0.64
SP19,G3,P10,2021-01-01 00:00:00,2387,134,89,Beverie Moffet,Jucies,Seattle,Canada,Americas,Spicy Special Slims,Bites,LARGE,5.79
SP09,G2,P07,2021-01-01 00:00:00,7553,67,280,Andria Kimpton,Jucies,Hyderabad,USA,Americas,Drinking Coco,Other,LARGE,1.62
SP22,G4,P22,2021-01-01 00:00:00,3409,93,171,Jehu Rudeforth,,Seattle,New Zealand,APAC,Peanut Butter Cubes,Bites,SMALL,3.57
SP15,G2,P22,2021-01-01 00:00:00,3878,24,216,Kelci Walkden,Yummies,Wellington,USA,Americas,Peanut Butter Cubes,Bites,SMALL,3.57
SP12,G2,P04,2021-01-01 00:00:00,3052,76,204,Karlen McCaffrey,Yummies,Wellington,USA,Americas,Raspberry Choco,Bars,LARGE,4.09
SP18,G2,P21,2021-01-04 00:00:00,19229,64,1013,Madelene Upcott,Jucies,Wellington,USA,Americas,Choco Coated Almonds,Bites,SMALL,6.17
SP15,G6,P21,2021-01-04 00:00:00,1988,179,95,Kelci Walkden,Yummies,Wellington,UK,Europe,Choco Coated Almonds,Bites,SMALL,6.17
SP12,G6,P09,2021-01-04 00:00:00,147,9,11,Karlen McCaffrey,Yummies,Wellington,UK,Europe,Orange Choco,Bars,LARGE,7.14
SP20,G6,P12,2021-01-04 00:00:00,2401,407,134,Oby Sorrel,Jucies,Seattle,UK,Europe,Fruit & Nut Bars,Bars,LARGE,1.58
SP11,G2,P17,2021-01-04 00:00:00,2814,296,94,Husein Augar,Yummies,Wellington,USA,Americas,Caramel Stuffed Bars,Bars,SMALL,0.54
SP06,G6,P17,2021-01-04 00:00:00,5390,61,216,Curtice Advani,Delish,Hyderabad,UK,Europe,Caramel Stuffed Bars,Bars,SMALL,0.54
SP23,G3,P02,2021-01-04 00:00:00,3920,16,262,Van Tuxwell,Yummies,Seattle,Canada,Americas,50% Dark Bites,Bites,LARGE,2.57
SP19,G3,P19,2021-01-04 00:00:00,7539,502,943,Beverie Moffet,Jucies,Seattle,Canada,Americas,70% Dark Bites,Bites,SMALL,4.97
SP23,G1,P16,2021-01-05 00:00:00,17248,163,664,Van Tuxwell,Yummies,Seattle,India,APAC,Organic Choco Syrup,Other,SMALL,1.47
SP18,G6,P03,2021-01-05 00:00:00,1176,152,66,Madelene Upcott,Jucies,Wellington,UK,Europe,Almond Choco,Bars,LARGE,9.6
SP17,G5,P13,2021-01-05 00:00:00,9730,361,573,Rafaelita Blaksland,,Wellington,Australia,APAC,85% Dark Bars,Bars,SMALL,0.64
SP16,G4,P13,2021-01-05 00:00:00,2226,129,140,Marney O\'Breen,Jucies,Wellington,New Zealand,APAC,85% Dark Bars,Bars,SMALL,0.64
SP18,G6,P12,2021-01-05 00:00:00,7063,250,643,Madelene Upcott,Jucies,Wellington,UK,Europe,Fruit & Nut Bars,Bars,LARGE,1.58
SP07,G4,P11,2021-01-05 00:00:00,7399,420,275,Kaine Padly,Delish,Hyderabad,New Zealand,APAC,After Nines,Bites,LARGE,4.43
SP04,G2,P09,2021-01-05 00:00:00,4284,230,306,Wilone O\'Kielt,Delish,Hyderabad,USA,Americas,Orange Choco,Bars,LARGE,7.14
SP07,G4,P04,2021-01-05 00:00:00,4865,168,271,Kaine Padly,Delish,Hyderabad,New Zealand,APAC,Raspberry Choco,Bars,LARGE,4.09
SP06,G4,P19,2021-01-05 00:00:00,3780,111,315,Curtice Advani,Delish,Hyderabad,New Zealand,APAC,70% Dark Bites,Bites,SMALL,4.97
SP13,G1,P09,2021-01-05 00:00:00,3059,484,279,Jan Morforth,Delish,Wellington,India,APAC,Orange Choco,Bars,LARGE,7.14
SP11,G6,P11,2021-01-05 00:00:00,6622,57,276,Husein Augar,Yummies,Wellington,UK,Europe,After Nines,Bites,LARGE,4.43
SP04,G1,P20,2021-01-06 00:00:00,644,116,34,Wilone O\'Kielt,Delish,Hyderabad,India,APAC,Smooth Sliky Salty,Bars,SMALL,2.97
SP08,G1,P11,2021-01-06 00:00:00,4935,87,171,Ches Bonnell,,Hyderabad,India,APAC,After Nines,Bites,LARGE,4.43
SP13,G6,P22,2021-01-06 00:00:00,7182,29,378,Jan Morforth,Delish,Wellington,UK,Europe,Peanut Butter Cubes,Bites,SMALL,3.57
SP09,G5,P09,2021-01-06 00:00:00,539,10,77,Andria Kimpton,Jucies,Hyderabad,Australia,APAC,Orange Choco,Bars,LARGE,7.14
SP20,G6,P19,2021-01-06 00:00:00,637,79,91,Oby Sorrel,Jucies,Seattle,UK,Europe,70% Dark Bites,Bites,SMALL,4.97
SP07,G2,P15,2021-01-06 00:00:00,1470,57,184,Kaine Padly,Delish,Hyderabad,USA,Americas,Baker\'s Choco Chips,Bars,SMALL,3.4
SP10,G2,P13,2021-01-06 00:00:00,1442,108,61,Brien Boise,Jucies,Wellington,USA,Americas,85% Dark Bars,Bars,SMALL,0.64
SP11,G2,P20,2021-01-06 00:00:00,9023,224,564,Husein Augar,Yummies,Wellington,USA,Americas,Smooth Sliky Salty,Bars,SMALL,2.97
SP03,G6,P01,2021-01-06 00:00:00,2709,27,101,Gunar Cockshoot,Yummies,Hyderabad,UK,Europe,Milk Bars,Bars,LARGE,1.52
SP19,G3,P21,2021-01-07 00:00:00,5733,193,338,Beverie Moffet,Jucies,Seattle,Canada,Americas,Choco Coated Almonds,Bites,SMALL,6.17
SP05,G3,P02,2021-01-07 00:00:00,10451,155,1307,Gigi Bohling,Delish,Hyderabad,Canada,Americas,50% Dark Bites,Bites,LARGE,2.57
SP18,G1,P18,2021-01-07 00:00:00,11228,236,388,Madelene Upcott,Jucies,Wellington,India,APAC,Manuka Honey Choco,Other,SMALL,4.75
SP15,G6,P17,2021-01-07 00:00:00,3073,137,129,Kelci Walkden,Yummies,Wellington,UK,Europe,Caramel Stuffed Bars,Bars,SMALL,0.54
SP09,G5,P13,2021-01-07 00:00:00,5467,109,288,Andria Kimpton,Jucies,Hyderabad,Australia,APAC,85% Dark Bars,Bars,SMALL,0.64
SP08,G2,P20,2021-01-07 00:00:00,4067,272,226,Ches Bonnell,,Hyderabad,USA,Americas,Smooth Sliky Salty,Bars,SMALL,2.97
SP02,G1,P05,2021-01-08 00:00:00,2814,69,149,Dennison Crosswaite,Yummies,Hyderabad,India,APAC,Mint Chip Choco,Bars,LARGE,1.54
SP24,G4,P17,2021-01-08 00:00:00,2716,299,105,Roddy Speechley,Delish,Seattle,New Zealand,APAC,Caramel Stuffed Bars,Bars,SMALL,0.54
SP22,G5,P09,2021-01-08 00:00:00,3570,61,325,Jehu Rudeforth,,Seattle,Australia,APAC,Orange Choco,Bars,LARGE,7.14
SP12,G1,P13,2021-01-08 00:00:00,9562,123,479,Karlen McCaffrey,Yummies,Wellington,India,APAC,85% Dark Bars,Bars,SMALL,0.64
SP17,G4,P22,2021-01-08 00:00:00,2373,2,104,Rafaelita Blaksland,,Wellington,New Zealand,APAC,Peanut Butter Cubes,Bites,SMALL,3.57
SP08,G1,P17,2021-01-08 00:00:00,2807,236,123,Ches Bonnell,,Hyderabad,India,APAC,Caramel Stuffed Bars,Bars,SMALL,0.54
SP10,G2,P01,2021-01-08 00:00:00,420,196,14,Brien Boise,Jucies,Wellington,USA,Americas,Milk Bars,Bars,LARGE,1.52
SP06,G2,P04,2021-01-08 00:00:00,8239,157,515,Curtice Advani,Delish,Hyderabad,USA,Americas,Raspberry Choco,Bars,LARGE,4.09
SP05,G4,P02,2021-01-08 00:00:00,6797,114,486,Gigi Bohling,Delish,Hyderabad,New Zealand,APAC,50% Dark Bites,Bites,LARGE,2.57
SP22,G4,P13,2021-01-08 00:00:00,6048,56,319,Jehu Rudeforth,,Seattle,New Zealand,APAC,85% Dark Bars,Bars,SMALL,0.64
SP05,G5,P04,2021-01-08 00:00:00,364,14,21,Gigi Bohling,Delish,Hyderabad,Australia,APAC,Raspberry Choco,Bars,LARGE,4.09
SP19,G5,P14,2021-01-08 00:00:00,6496,15,406,Beverie Moffet,Jucies,Seattle,Australia,APAC,White Choc,Other,SMALL,0.16
SP24,G2,P09,2021-01-08 00:00:00,1057,45,106,Roddy Speechley,Delish,Seattle,USA,Americas,Orange Choco,Bars,LARGE,7.14
SP08,G6,P04,2021-01-08 00:00:00,357,185,17,Ches Bonnell,,Hyderabad,UK,Europe,Raspberry Choco,Bars,LARGE,4.09
SP08,G5,P07,2021-01-08 00:00:00,6419,359,257,Ches Bonnell,,Hyderabad,Australia,APAC,Drinking Coco,Other,LARGE,1.62
SP08,G3,P10,2021-01-08 00:00:00,12726,179,579,Ches Bonnell,,Hyderabad,Canada,Americas,Spicy Special Slims,Bites,LARGE,5.79
SP16,G2,P13,2021-01-11 00:00:00,6006,109,376,Marney O\'Breen,Jucies,Wellington,USA,Americas,85% Dark Bars,Bars,SMALL,0.64
SP15,G6,P08,2021-01-11 00:00:00,5124,33,285,Kelci Walkden,Yummies,Wellington,UK,Europe,99% Dark & Pure,Bars,LARGE,2.47
SP23,G4,P01,2021-01-11 00:00:00,2709,188,113,Van Tuxwell,Yummies,Seattle,New Zealand,APAC,Milk Bars,Bars,LARGE,1.52
SP01,G5,P01,2021-01-11 00:00:00,7238,67,315,Barr Faughny,Yummies,Hyderabad,Australia,APAC,Milk Bars,Bars,LARGE,1.52
SP06,G1,P14,2021-01-12 00:00:00,6776,68,424,Curtice Advani,Delish,Hyderabad,India,APAC,White Choc,Other,SMALL,0.16
SP11,G6,P01,2021-01-12 00:00:00,189,123,8,Husein Augar,Yummies,Wellington,UK,Europe,Milk Bars,Bars,LARGE,1.52
SP08,G2,P12,2021-01-12 00:00:00,4669,217,390,Ches Bonnell,,Hyderabad,USA,Americas,Fruit & Nut Bars,Bars,LARGE,1.58
SP01,G3,P19,2021-01-12 00:00:00,490,188,35,Barr Faughny,Yummies,Hyderabad,Canada,Americas,70% Dark Bites,Bites,SMALL,4.97
SP08,G5,P19,2021-01-12 00:00:00,4235,76,283,Ches Bonnell,,Hyderabad,Australia,APAC,70% Dark Bites,Bites,SMALL,4.97
SP13,G2,P07,2021-01-12 00:00:00,4487,161,187,Jan Morforth,Delish,Wellington,USA,Americas,Drinking Coco,Other,LARGE,1.62
SP02,G3,P15,2021-01-12 00:00:00,2653,147,332,Dennison Crosswaite,Yummies,Hyderabad,Canada,Americas,Baker\'s Choco Chips,Bars,SMALL,3.4
SP04,G4,P10,2021-01-12 00:00:00,5306,5,253,Wilone O\'Kielt,Delish,Hyderabad,New Zealand,APAC,Spicy Special Slims,Bites,LARGE,5.79
SP16,G2,P02,2021-01-12 00:00:00,6888,112,689,Marney O\'Breen,Jucies,Wellington,USA,Americas,50% Dark Bites,Bites,LARGE,2.57
SP08,G4,P16,2021-01-12 00:00:00,721,45,24,Ches Bonnell,,Hyderabad,New Zealand,APAC,Organic Choco Syrup,Other,SMALL,1.47
SP14,G1,P10,2021-01-12 00:00:00,8610,124,345,Dotty Strutley,Delish,Wellington,India,APAC,Spicy Special Slims,Bites,LARGE,5.79
SP10,G2,P12,2021-01-12 00:00:00,11739,22,903,Brien Boise,Jucies,Wellington,USA,Americas,Fruit & Nut Bars,Bars,LARGE,1.58
SP16,G1,P09,2021-01-13 00:00:00,4774,206,341,Marney O\'Breen,Jucies,Wellington,India,APAC,Orange Choco,Bars,LARGE,7.14
SP10,G3,P02,2021-01-13 00:00:00,6307,123,789,Brien Boise,Jucies,Wellington,Canada,Americas,50% Dark Bites,Bites,LARGE,2.57
SP21,G3,P08,2021-01-13 00:00:00,4340,168,217,Mallorie Waber,,Seattle,Canada,Americas,99% Dark & Pure,Bars,LARGE,2.47
SP09,G1,P19,2021-01-13 00:00:00,1078,76,77,Andria Kimpton,Jucies,Hyderabad,India,APAC,70% Dark Bites,Bites,SMALL,4.97
SP13,G6,P03,2021-01-13 00:00:00,5418,287,247,Jan Morforth,Delish,Wellington,UK,Europe,Almond Choco,Bars,LARGE,9.6
SP03,G2,P21,2021-01-13 00:00:00,6069,268,434,Gunar Cockshoot,Yummies,Hyderabad,USA,Americas,Choco Coated Almonds,Bites,SMALL,6.17
SP15,G2,P21,2021-01-13 00:00:00,12334,119,686,Kelci Walkden,Yummies,Wellington,USA,Americas,Choco Coated Almonds,Bites,SMALL,6.17
SP08,G6,P07,2021-01-13 00:00:00,728,234,32,Ches Bonnell,,Hyderabad,UK,Europe,Drinking Coco,Other,LARGE,1.62
SP21,G1,P15,2021-01-13 00:00:00,2135,179,165,Mallorie Waber,,Seattle,India,APAC,Baker\'s Choco Chips,Bars,SMALL,3.4
SP07,G4,P13,2021-01-13 00:00:00,2121,130,89,Kaine Padly,Delish,Hyderabad,New Zealand,APAC,85% Dark Bars,Bars,SMALL,0.64
SP12,G6,P01,2021-01-14 00:00:00,6881,10,222,Karlen McCaffrey,Yummies,Wellington,UK,Europe,Milk Bars,Bars,LARGE,1.52
SP24,G4,P07,2021-01-14 00:00:00,1239,97,50,Roddy Speechley,Delish,Seattle,New Zealand,APAC,Drinking Coco,Other,LARGE,1.62
SP16,G5,P05,2021-01-14 00:00:00,3598,365,257,Marney O\'Breen,Jucies,Wellington,Australia,APAC,Mint Chip Choco,Bars,LARGE,1.54
SP18,G3,P20,2021-01-14 00:00:00,6580,210,347,Madelene Upcott,Jucies,Wellington,Canada,Americas,Smooth Sliky Salty,Bars,SMALL,2.97
SP08,G6,P10,2021-01-14 00:00:00,1127,97,54,Ches Bonnell,,Hyderabad,UK,Europe,Spicy Special Slims,Bites,LARGE,5.79
SP22,G1,P22,2021-01-14 00:00:00,3605,345,139,Jehu Rudeforth,,Seattle,India,APAC,Peanut Butter Cubes,Bites,SMALL,3.57
SP09,G4,P11,2021-01-14 00:00:00,5096,201,196,Andria Kimpton,Jucies,Hyderabad,New Zealand,APAC,After Nines,Bites,LARGE,4.43
SP25,G2,P08,2021-01-14 00:00:00,2135,183,98,Camilla Castle,Delish,Seattle,USA,Americas,99% Dark & Pure,Bars,LARGE,2.47
SP13,G2,P04,2021-01-14 00:00:00,35,142,3,Jan Morforth,Delish,Wellington,USA,Americas,Raspberry Choco,Bars,LARGE,4.09
SP11,G1,P19,2021-01-14 00:00:00,13090,17,935,Husein Augar,Yummies,Wellington,India,APAC,70% Dark Bites,Bites,SMALL,4.97
SP05,G6,P20,2021-01-14 00:00:00,15785,209,1128,Gigi Bohling,Delish,Hyderabad,UK,Europe,Smooth Sliky Salty,Bars,SMALL,2.97
SP20,G5,P12,2021-01-14 00:00:00,14574,86,810,Oby Sorrel,Jucies,Seattle,Australia,APAC,Fruit & Nut Bars,Bars,LARGE,1.58
SP11,G4,P17,2021-01-14 00:00:00,3556,195,143,Husein Augar,Yummies,Wellington,New Zealand,APAC,Caramel Stuffed Bars,Bars,SMALL,0.54
SP02,G2,P12,2021-01-14 00:00:00,14532,142,969,Dennison Crosswaite,Yummies,Hyderabad,USA,Americas,Fruit & Nut Bars,Bars,LARGE,1.58
SP23,G4,P17,2021-01-14 00:00:00,4445,340,159,Van Tuxwell,Yummies,Seattle,New Zealand,APAC,Caramel Stuffed Bars,Bars,SMALL,0.54
SP17,G2,P01,2021-01-14 00:00:00,10339,207,357,Rafaelita Blaksland,,Wellington,USA,Americas,Milk Bars,Bars,LARGE,1.52
SP03,G4,P11,2021-01-14 00:00:00,1351,282,55,Gunar Cockshoot,Yummies,Hyderabad,New Zealand,APAC,After Nines,Bites,LARGE,4.43
SP02,G4,P15,2021-01-14 00:00:00,4011,260,335,Dennison Crosswaite,Yummies,Hyderabad,New Zealand,APAC,Baker\'s Choco Chips,Bars,SMALL,3.4
SP17,G6,P12,2021-01-14 00:00:00,5306,333,483,Rafaelita Blaksland,,Wellington,UK,Europe,Fruit & Nut Bars,Bars,LARGE,1.58
SP24,G2,P11,2021-01-14 00:00:00,18704,78,585,Roddy Speechley,Delish,Seattle,USA,Americas,After Nines,Bites,LARGE,4.43
SP21,G3,P20,2021-01-14 00:00:00,9310,62,582,Mallorie Waber,,Seattle,Canada,Americas,Smooth Sliky Salty,Bars,SMALL,2.97
SP04,G4,P06,2021-01-14 00:00:00,1211,37,61,Wilone O\'Kielt,Delish,Hyderabad,New Zealand,APAC,Eclairs,Bites,LARGE,2.24
SP09,G3,P04,2021-01-15 00:00:00,3094,317,148,Andria Kimpton,Jucies,Hyderabad,Canada,Americas,Raspberry Choco,Bars,LARGE,4.09
SP17,G4,P04,2021-01-15 00:00:00,4949,244,248,Rafaelita Blaksland,,Wellington,New Zealand,APAC,Raspberry Choco,Bars,LARGE,4.09
SP06,G4,P08,2021-01-15 00:00:00,308,91,19,Curtice Advani,Delish,Hyderabad,New Zealand,APAC,99% Dark & Pure,Bars,LARGE,2.47
SP11,G1,P17,2021-01-15 00:00:00,7546,49,329,Husein Augar,Yummies,Wellington,India,APAC,Caramel Stuffed Bars,Bars,SMALL,0.54
SP12,G2,P13,2021-01-15 00:00:00,6713,422,373,Karlen McCaffrey,Yummies,Wellington,USA,Americas,85% Dark Bars,Bars,SMALL,0.64
SP14,G4,P17,2021-01-15 00:00:00,6895,318,300,Dotty Strutley,Delish,Wellington,New Zealand,APAC,Caramel Stuffed Bars,Bars,SMALL,0.54
SP02,G4,P05,2021-01-15 00:00:00,3430,120,202,Dennison Crosswaite,Yummies,Hyderabad,New Zealand,APAC,Mint Chip Choco,Bars,LARGE,1.54
SP21,G4,P14,2021-01-18 00:00:00,4165,61,348,Mallorie Waber,,Seattle,New Zealand,APAC,White Choc,Other,SMALL,0.16
SP25,G1,P03,2021-01-18 00:00:00,2380,209,159,Camilla Castle,Delish,Seattle,India,APAC,Almond Choco,Bars,LARGE,9.6
SP03,G6,P14,2021-01-18 00:00:00,6594,114,413,Gunar Cockshoot,Yummies,Hyderabad,UK,Europe,White Choc,Other,SMALL,0.16
SP04,G5,P04,2021-01-18 00:00:00,1428,55,76,Wilone O\'Kielt,Delish,Hyderabad,Australia,APAC,Raspberry Choco,Bars,LARGE,4.09
SP19,G5,P07,2021-01-18 00:00:00,2646,150,116,Beverie Moffet,Jucies,Seattle,Australia,APAC,Drinking Coco,Other,LARGE,1.62
SP10,G1,P01,2021-01-18 00:00:00,238,364,11,Brien Boise,Jucies,Wellington,India,APAC,Milk Bars,Bars,LARGE,1.52
SP24,G5,P04,2021-01-18 00:00:00,945,298,50,Roddy Speechley,Delish,Seattle,Australia,APAC,Raspberry Choco,Bars,LARGE,4.09
SP11,G6,P10,2021-01-18 00:00:00,9436,102,337,Husein Augar,Yummies,Wellington,UK,Europe,Spicy Special Slims,Bites,LARGE,5.79
SP17,G2,P10,2021-01-18 00:00:00,4081,116,152,Rafaelita Blaksland,,Wellington,USA,Americas,Spicy Special Slims,Bites,LARGE,5.79
SP04,G2,P08,2021-01-18 00:00:00,10556,25,587,Wilone O\'Kielt,Delish,Hyderabad,USA,Americas,99% Dark & Pure,Bars,LARGE,2.47
SP01,G2,P14,2021-01-18 00:00:00,2331,38,167,Barr Faughny,Yummies,Hyderabad,USA,Americas,White Choc,Other,SMALL,0.16
SP11,G3,P16,2021-01-19 00:00:00,896,346,32,Husein Augar,Yummies,Wellington,Canada,Americas,Organic Choco Syrup,Other,SMALL,1.47
SP20,G1,P18,2021-01-19 00:00:00,4214,314,169,Oby Sorrel,Jucies,Seattle,India,APAC,Manuka Honey Choco,Other,SMALL,4.75
SP20,G3,P09,2021-01-19 00:00:00,2121,90,177,Oby Sorrel,Jucies,Seattle,Canada,Americas,Orange Choco,Bars,LARGE,7.14
SP23,G1,P13,2021-01-19 00:00:00,1029,386,47,Van Tuxwell,Yummies,Seattle,India,APAC,85% Dark Bars,Bars,SMALL,0.64
SP08,G1,P05,2021-01-19 00:00:00,15407,103,771,Ches Bonnell,,Hyderabad,India,APAC,Mint Chip Choco,Bars,LARGE,1.54
SP03,G4,P17,2021-01-19 00:00:00,10129,134,406,Gunar Cockshoot,Yummies,Hyderabad,New Zealand,APAC,Caramel Stuffed Bars,Bars,SMALL,0.54
SP13,G2,P20,2021-01-19 00:00:00,16380,203,1092,Jan Morforth,Delish,Wellington,USA,Americas,Smooth Sliky Salty,Bars,SMALL,2.97
SP24,G1,P14,2021-01-19 00:00:00,3899,102,279,Roddy Speechley,Delish,Seattle,India,APAC,White Choc,Other,SMALL,0.16
SP05,G3,P10,2021-01-19 00:00:00,12075,264,432,Gigi Bohling,Delish,Hyderabad,Canada,Americas,Spicy Special Slims,Bites,LARGE,5.79
SP11,G2,P18,2021-01-19 00:00:00,10696,115,428,Husein Augar,Yummies,Wellington,USA,Americas,Manuka Honey Choco,Other,SMALL,4.75
SP19,G2,P03,2021-01-19 00:00:00,4039,436,238,Beverie Moffet,Jucies,Seattle,USA,Americas,Almond Choco,Bars,LARGE,9.6
SP18,G1,P22,2021-01-19 00:00:00,5250,410,202,Madelene Upcott,Jucies,Wellington,India,APAC,Peanut Butter Cubes,Bites,SMALL,3.57
SP21,G1,P08,2021-01-19 00:00:00,8113,25,508,Mallorie Waber,,Seattle,India,APAC,99% Dark & Pure,Bars,LARGE,2.47
SP08,G6,P06,2021-01-19 00:00:00,161,95,10,Ches Bonnell,,Hyderabad,UK,Europe,Eclairs,Bites,LARGE,2.24
SP07,G6,P10,2021-01-19 00:00:00,8218,205,294,Kaine Padly,Delish,Hyderabad,UK,Europe,Spicy Special Slims,Bites,LARGE,5.79
SP06,G5,P15,2021-01-19 00:00:00,742,80,53,Curtice Advani,Delish,Hyderabad,Australia,APAC,Baker\'s Choco Chips,Bars,SMALL,3.4
SP03,G2,P11,2021-01-19 00:00:00,3087,193,111,Gunar Cockshoot,Yummies,Hyderabad,USA,Americas,After Nines,Bites,LARGE,4.43
SP08,G1,P18,2021-01-19 00:00:00,5110,131,155,Ches Bonnell,,Hyderabad,India,APAC,Manuka Honey Choco,Other,SMALL,4.75
SP04,G4,P04,2021-01-19 00:00:00,5873,164,267,Wilone O\'Kielt,Delish,Hyderabad,New Zealand,APAC,Raspberry Choco,Bars,LARGE,4.09
SP11,G6,P05,2021-01-19 00:00:00,4641,301,357,Husein Augar,Yummies,Wellington,UK,Europe,Mint Chip Choco,Bars,LARGE,1.54
SP04,G4,P22,2021-01-20 00:00:00,1155,34,45,Wilone O\'Kielt,Delish,Hyderabad,New Zealand,APAC,Peanut Butter Cubes,Bites,SMALL,3.57
SP10,G6,P02,2021-01-20 00:00:00,784,247,49,Brien Boise,Jucies,Wellington,UK,Europe,50% Dark Bites,Bites,LARGE,2.57
SP25,G4,P05,2021-01-20 00:00:00,5369,16,384,Camilla Castle,Delish,Seattle,New Zealand,APAC,Mint Chip Choco,Bars,LARGE,1.54
SP10,G3,P06,2021-01-20 00:00:00,343,338,18,Brien Boise,Jucies,Wellington,Canada,Americas,Eclairs,Bites,LARGE,2.24
SP10,G6,P19,2021-01-20 00:00:00,7007,38,584,Brien Boise,Jucies,Wellington,UK,Europe,70% Dark Bites,Bites,SMALL,4.97
SP15,G1,P15,2021-01-20 00:00:00,126,127,13,Kelci Walkden,Yummies,Wellington,India,APAC,Baker\'s Choco Chips,Bars,SMALL,3.4
SP16,G1,P08,2021-01-20 00:00:00,3073,57,134,Marney O\'Breen,Jucies,Wellington,India,APAC,99% Dark & Pure,Bars,LARGE,2.47
SP19,G4,P21,2021-01-21 00:00:00,7805,86,488,Beverie Moffet,Jucies,Seattle,New Zealand,APAC,Choco Coated Almonds,Bites,SMALL,6.17
SP09,G6,P11,2021-01-21 00:00:00,3087,14,124,Andria Kimpton,Jucies,Hyderabad,UK,Europe,After Nines,Bites,LARGE,4.43
SP13,G4,P21,2021-01-21 00:00:00,9030,85,452,Jan Morforth,Delish,Wellington,New Zealand,APAC,Choco Coated Almonds,Bites,SMALL,6.17
SP04,G2,P20,2021-01-21 00:00:00,7805,6,411,Wilone O\'Kielt,Delish,Hyderabad,USA,Americas,Smooth Sliky Salty,Bars,SMALL,2.97
SP18,G1,P11,2021-01-21 00:00:00,6979,38,233,Madelene Upcott,Jucies,Wellington,India,APAC,After Nines,Bites,LARGE,4.43
SP19,G1,P07,2021-01-21 00:00:00,11284,39,513,Beverie Moffet,Jucies,Seattle,India,APAC,Drinking Coco,Other,LARGE,1.62
SP17,G5,P01,2021-01-21 00:00:00,2408,106,90,Rafaelita Blaksland,,Wellington,Australia,APAC,Milk Bars,Bars,LARGE,1.52
SP03,G6,P02,2021-01-21 00:00:00,5299,86,332,Gunar Cockshoot,Yummies,Hyderabad,UK,Europe,50% Dark Bites,Bites,LARGE,2.57
SP10,G6,P16,2021-01-21 00:00:00,6293,158,234,Brien Boise,Jucies,Wellington,UK,Europe,Organic Choco Syrup,Other,SMALL,1.47
SP08,G5,P03,2021-01-21 00:00:00,280,408,17,Ches Bonnell,,Hyderabad,Australia,APAC,Almond Choco,Bars,LARGE,9.6
